speaker,party,seat,direction,onside_confirmed,rose_at_london,start_utc,end_utc,seconds,footage_link,hansard_link
Natasha Irons,Lab,Croydon East,Neutral or unclear,,12:16:32,2026-09-04T11:16:32Z,2026-09-04T11:20:00Z,208,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-4734341C-D93B-4172-BF14-94E5B6A39718
Natasha Irons,Lab,Croydon East,Neutral or unclear,,12:29:48,2026-09-04T11:29:48Z,2026-09-04T11:30:42Z,54,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-4734341C-D93B-4172-BF14-94E5B6A39718
Helen Hayes,Lab,Dulwich and West Norwood,Neutral or unclear,,10:01:13,2026-09-04T09:01:13Z,2026-09-04T09:03:24Z,131,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-8EF582DF-DE56-4397-B49F-718502D46875
Helen Hayes,Lab,Dulwich and West Norwood,Neutral or unclear,,10:04:30,2026-09-04T09:04:30Z,2026-09-04T09:06:44Z,134,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-8EF582DF-DE56-4397-B49F-718502D46875
Helen Hayes,Lab,Dulwich and West Norwood,Neutral or unclear,,10:07:58,2026-09-04T09:07:58Z,2026-09-04T09:08:46Z,48,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-8EF582DF-DE56-4397-B49F-718502D46875
Helen Hayes,Lab,Dulwich and West Norwood,Neutral or unclear,,10:10:48,2026-09-04T09:10:48Z,2026-09-04T09:12:52Z,124,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-8EF582DF-DE56-4397-B49F-718502D46875
Helen Hayes,Lab,Dulwich and West Norwood,Neutral or unclear,,10:12:52,2026-09-04T09:12:52Z,2026-09-04T09:13:40Z,48,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-8EF582DF-DE56-4397-B49F-718502D46875
Helen Hayes,Lab,Dulwich and West Norwood,Neutral or unclear,,10:16:05,2026-09-04T09:16:05Z,2026-09-04T09:16:45Z,40,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-8EF582DF-DE56-4397-B49F-718502D46875
Helen Hayes,Lab,Dulwich and West Norwood,Neutral or unclear,,10:17:04,2026-09-04T09:17:04Z,2026-09-04T09:17:32Z,28,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-8EF582DF-DE56-4397-B49F-718502D46875
Helen Hayes,Lab,Dulwich and West Norwood,Neutral or unclear,,10:19:33,2026-09-04T09:19:33Z,2026-09-04T09:21:51Z,138,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-8EF582DF-DE56-4397-B49F-718502D46875
Dr Peter Prinsley,Lab,Bury St Edmunds and Stowmarket,Neutral or unclear,,10:04:02,2026-09-04T09:04:02Z,2026-09-04T09:04:30Z,28,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-3FC36A0C-29DB-4BB1-967B-3C81C32D4C71
Amanda Martin,Lab,Portsmouth North,Neutral or unclear,,10:10:48,2026-09-04T09:10:48Z,2026-09-04T09:11:35Z,47,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-A66D1836-2C48-4F49-94A6-FADB97BC5CE3
Amanda Martin,Lab,Portsmouth North,Neutral or unclear,,10:46:45,2026-09-04T09:46:45Z,2026-09-04T09:47:21Z,36,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-A66D1836-2C48-4F49-94A6-FADB97BC5CE3
Amanda Martin,Lab,Portsmouth North,Neutral or unclear,,10:57:15,2026-09-04T09:57:15Z,2026-09-04T09:57:43Z,28,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-A66D1836-2C48-4F49-94A6-FADB97BC5CE3
Amanda Martin,Lab,Portsmouth North,Neutral or unclear,,11:19:55,2026-09-04T10:19:55Z,2026-09-04T10:20:50Z,55,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-A66D1836-2C48-4F49-94A6-FADB97BC5CE3
Amanda Martin,Lab,Portsmouth North,Neutral or unclear,,11:32:34,2026-09-04T10:32:34Z,2026-09-04T10:33:06Z,32,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-A66D1836-2C48-4F49-94A6-FADB97BC5CE3
Dr Kieran Mullan,Con,Bexhill and Battle,Neutral or unclear,,10:17:32,2026-09-04T09:17:32Z,2026-09-04T09:17:51Z,19,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-94127687-4265-4F51-ACEF-3ADCD8B02498
Dr Kieran Mullan,Con,Bexhill and Battle,Neutral or unclear,,11:27:58,2026-09-04T10:27:58Z,2026-09-04T10:32:34Z,276,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-94127687-4265-4F51-ACEF-3ADCD8B02498
Dr Kieran Mullan,Con,Bexhill and Battle,Neutral or unclear,,11:32:34,2026-09-04T10:32:34Z,2026-09-04T10:38:03Z,329,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-94127687-4265-4F51-ACEF-3ADCD8B02498
Dr Kieran Mullan,Con,Bexhill and Battle,Neutral or unclear,,11:38:03,2026-09-04T10:38:03Z,2026-09-04T10:39:39Z,96,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-94127687-4265-4F51-ACEF-3ADCD8B02498
Dr Kieran Mullan,Con,Bexhill and Battle,Neutral or unclear,,12:02:14,2026-09-04T11:02:14Z,2026-09-04T11:02:48Z,34,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-94127687-4265-4F51-ACEF-3ADCD8B02498
Shivani Raja,Con,Leicester East,Neutral or unclear,,10:22:58,2026-09-04T09:22:58Z,2026-09-04T09:26:28Z,210,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-A2E067B2-F9FE-489D-865F-A131F51B5671
Shivani Raja,Con,Leicester East,Neutral or unclear,,10:27:10,2026-09-04T09:27:10Z,2026-09-04T09:30:32Z,202,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-A2E067B2-F9FE-489D-865F-A131F51B5671
Maya Ellis,Lab,Ribble Valley,Neutral or unclear,,10:27:10,2026-09-04T09:27:10Z,2026-09-04T09:39:45Z,755,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-325A58CE-7DB5-4B70-8606-6F2D57D61466
Maya Ellis,Lab,Ribble Valley,Neutral or unclear,,09:30:00,2026-09-04T08:30:00Z,2026-09-04T08:30:38Z,38,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-325A58CE-7DB5-4B70-8606-6F2D57D61466
Munira Wilson,LD,Twickenham,Neutral or unclear,,10:40:12,2026-09-04T09:40:12Z,2026-09-04T09:46:45Z,393,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-4BD00BE5-9DD1-4C21-AE06-B453015BAF83
Munira Wilson,LD,Twickenham,Neutral or unclear,,10:46:45,2026-09-04T09:46:45Z,2026-09-04T09:49:00Z,135,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-4BD00BE5-9DD1-4C21-AE06-B453015BAF83
Munira Wilson,LD,Twickenham,Neutral or unclear,,10:57:15,2026-09-04T09:57:15Z,2026-09-04T09:58:20Z,65,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-4BD00BE5-9DD1-4C21-AE06-B453015BAF83
Mrs Sharon Hodgson,Lab,Washington and Gateshead South,Neutral or unclear,,10:49:00,2026-09-04T09:49:00Z,2026-09-04T09:52:52Z,232,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-870B4FA2-FBD4-40E2-9245-30ED48511EC0
